Index,Id,Status,Sex,Age,Deme,fgene0,fgene1,fgene2,fgene3,fgene4,fgene5,fgene6,fgene7,fgene8,fgene9,mgene0,mgene1,mgene2,mgene3,mgene4,mgene5,mgene6,mgene7,mgene8,mgene9,phen0,phen1
28,28,1,1,0,0,0.0297853,0.0854777,-0.0585316,-0.029578,0.0241297,0.146161,0.034924,0.0892529,0.0200013,0.195217,-0.0544035,-0.0784597,-0.244278,0.0538451,0.177118,0.173966,0.0353132,0.0792849,-0.157729,0.0812532,2.04745,0.705519
29,29,1,1,0,0,-0.0956701,-0.0535732,0.161211,-0.0181819,-0.06271,-0.0519238,-0.00242427,0.0396842,-0.120046,-0.0181899,-0.117504,-0.176014,-0.210051,-0.076805,-0.0300687,-0.0365914,-0.0198926,0.0010553,0.154526,0.161685,2.33968,0.947488
30,30,1,0,0,0,0.00421096,0.115115,-0.0773726,0.10361,-0.217605,-0.115272,0.13635,0.134461,-0.0492323,0.0632963,-0.0353967,-0.137841,-0.0022975,0.160182,0.122978,0.147303,0.0568461,0.134169,0.0827996,-0.114851,2.01779,0.788254
31,31,1,0,0,0,-0.127443,0.121102,0.108271,-0.0316753,-0.0396556,-0.0681418,0.0439891,0.0897403,0.0234571,0.139797,-0.0080675,-0.00185943,-0.159783,0.0164888,-0.064596,0.0237765,-0.0592934,0.0758309,0.0809768,-0.0950948,2.09361,0.880277
32,32,1,0,0,0,0.0115365,0.0264223,-0.0398455,0.0180325,0.19048,0.0222265,0.236957,-0.0745211,-0.0947654,0.0987954,-0.024303,-0.0216896,-0.0509055,0.0631532,-0.140358,0.0818401,0.0795751,-0.109843,-0.00110575,0.142093,2.01626,0.826442
33,33,1,1,0,0,-0.0322245,0.047938,0.0448693,0.0851133,-0.159035,0.213203,-0.0709043,-0.0722159,0.0421613,0.0949155,-0.147639,0.0980533,-0.117421,-0.0214665,-0.00580778,-0.0281544,-0.0363794,0.0438829,0.0325269,-0.0557293,2.10381,0.921592
34,34,1,0,0,0,-0.0185478,-0.154601,0.137524,0.0680329,0.0118571,-0.0158071,-0.0406385,0.0997923,-0.0537854,0.00776953,0.230952,0.123931,-0.0373636,-0.123913,-0.0395377,0.0798586,-0.000361927,-0.0708792,-0.157965,-0.0646127,2.09917,0.897345
35,35,1,1,0,0,-0.0253046,-0.0724988,-0.0202733,-0.0654448,0.0320559,-0.105865,0.0660413,-0.0769883,0.159309,0.0333683,-0.0398332,-0.0106807,0.00935081,0.174399,0.0345292,0.064843,0.0978566,-0.0836108,0.0237626,0.0903063,2.00815,0.874143
36,36,1,1,0,0,-0.0438761,-0.0796095,0.0335328,-0.0946041,-0.0824799,0.327181,-0.140778,0.0407401,0.043308,0.0825508,0.142915,-0.0992983,0.0822915,0.118702,0.076356,-0.0315373,-0.103311,0.095122,0.111487,0.00761246,2.02696,0.805584
37,37,1,1,0,0,-0.154501,-0.103481,-0.0264355,0.127083,0.0478179,-0.0773211,-0.0518369,0.0736472,-0.049131,-0.0258577,0.0266004,0.129423,-0.178873,-0.0351425,-0.0700073,-0.0277016,-0.080456,-0.0191124,0.0324327,-0.0683429,2.11876,0.863432
38,38,1,0,0,0,-0.0876475,-0.0466664,0.00906677,0.0240729,-0.131937,-0.108361,0.056222,-0.0620086,-0.0539738,0.00169664,0.0642975,-0.0877754,-0.0845045,0.05086,-0.149049,0.0232081,-0.0356451,-0.174946,0.13413,0.0299973,2.21964,0.909518
39,39,1,0,0,0,0.138992,-0.152624,-0.0892253,-0.0655281,-0.16702,-0.0246058,-0.0868691,-0.0409556,-0.211239,0.219875,0.114433,-0.000497827,0.0269684,-0.14209,-0.0659622,-0.132811,-0.0948176,0.0626937,0.147376,-0.235934,2.20128,0.819842
40,40,1,1,0,0,-0.176196,0.125803,-0.0466801,-0.102961,0.0718984,0.135323,-0.00133039,-0.0341385,0.0632096,0.0517288,-0.104334,0.0520209,-0.00438503,0.0159066,0.055414,-0.118318,0.0617243,-0.0729053,-0.0286572,0.076422,2.05676,0.935636
41,41,1,0,0,0,-0.0293352,0.013377,-0.0936196,-0.0785323,0.118746,0.105267,0.110143,0.0170755,-0.00224241,0.115834,-0.0792408,0.0745883,0.0933898,0.13652,0.167708,0.0309616,-0.0250956,0.00863866,-0.00697202,-0.0614241,2.1618,0.864077
42,42,1,1,0,0,0.0456063,0.0342599,0.104171,-0.0987378,0.201279,0.177751,-0.00175975,-0.0277809,0.075387,0.173138,-0.0764061,0.0098908,0.0714804,-0.0451855,0.010636,0.0154218,0.0340865,-0.124473,0.0058987,0.0673836,2.1285,0.820758
43,43,1,0,0,0,0.023858,0.0664512,0.0233387,0.0723566,-0.0600586,-0.0813755,-0.0294829,0.0331719,0.142229,0.0611962,-0.0418379,0.246671,0.0722474,-0.0141232,0.171048,0.0144371,0.0455741,0.0712997,0.0568119,-0.083573,2.27998,0.891237
44,44,1,1,0,0,-0.0978666,-0.0997351,3.1661e-05,-0.0588861,0.147571,0.242769,0.00452996,-0.024085,0.016217,0.0282533,-0.0598567,-0.0388986,-0.0811426,0.084888,-0.042455,-0.0836627,0.104799,0.0814172,0.122571,0.0386672,2.12317,0.76664
45,45,1,1,0,0,-0.0239154,-0.00201759,0.00126867,-0.153467,-0.0750386,-0.0783826,-0.0390445,-0.0453427,0.11415,-0.106393,-0.166581,-0.0170798,0.180909,0.0234593,-0.0621801,-0.00966449,-0.0490659,0.00970638,0.036316,-0.182442,2.14732,0.839389
46,46,1,1,0,0,-0.0585442,-0.066041,-0.104866,-0.0310559,-0.123072,-0.0955248,0.0437876,-0.00724446,0.0512055,-0.0115681,-0.0456619,0.0223102,0.0821406,9.95148e-05,-0.0409792,0.156667,-0.0399263,-0.148835,0.0671096,-0.0624682,2.18284,0.975
47,47,1,0,0,0,-0.155136,0.037743,-0.0277408,0.130182,-0.262653,-0.207251,0.0421491,0.0572617,-0.0674162,0.0823617,-0.0144599,0.06421,-0.013343,-0.114535,-0.0727871,0.0201689,0.029857,-0.0241464,0.0746171,0.0230081,2.21426,0.975
48,48,1,1,0,0,-0.17788,-0.0960607,-0.0411814,-0.0233386,-0.113378,-0.0333641,-0.0629661,0.109118,-0.0408571,0.0396688,0.139204,-0.0976413,0.0444561,-0.0133118,0.149507,-0.0171897,-0.0982493,0.00943218,-0.108604,-0.0243336,2.11481,0.89255
49,49,1,1,0,0,0.0699439,0.0308964,0.156498,-0.0333186,-0.0764315,0.0447327,0.0337772,-0.137829,-0.0921123,-0.0196679,0.0514354,-0.162616,-0.0798696,-0.0420019,-0.113433,-0.0685131,0.177566,0.0983588,0.0342062,-0.0939103,2.09945,0.975
50,50,1,0,0,0,0.0526043,-0.0763172,0.0269238,0.117285,0.00473374,0.0750257,0.0448072,0.129537,0.0481731,-0.0786395,-0.155823,0.0140306,0.127898,0.121721,-0.0318777,0.228034,-0.174524,0.0253885,-0.0761741,0.0994922,2.10059,0.851667
51,51,1,0,0,0,-0.0123695,0.0467782,-0.0832726,0.00900698,0.00269481,-0.0545183,-0.0588215,-0.0958023,-0.132195,0.0182691,0.156298,0.00184341,-0.0132912,0.0278094,-0.0656242,-0.0527534,-0.0364512,0.0810203,-0.031573,0.0655189,2.03494,0.861868
52,52,1,1,0,0,-0.0861619,0.111715,0.0417073,-0.211683,0.148564,-0.139741,-0.0554459,0.0555335,0.114167,0.0394038,-0.14441,0.0195362,0.120616,0.0902504,0.0765012,0.0630206,-0.0576485,0.0245941,-0.0521048,0.163877,2.08332,0.925124
53,53,1,1,0,0,-0.0627375,0.0636426,0.0251379,0.0356306,-0.0979442,0.0811275,-0.0543077,0.0422671,-0.0055207,-0.226064,-0.0064346,-0.00958563,0.0998805,0.0911714,0.0245393,0.0204789,0.0371144,0.0953788,0.027523,0.186903,2.08165,0.902623
54,54,1,0,0,0,0.084389,-0.165284,-0.0463204,0.152374,-0.00120442,-0.104535,-0.0440256,-0.0319467,-0.254996,0.14388,-0.0184024,-0.0554019,0.0480694,0.190948,0.0158774,-0.11865,-0.0387739,0.141653,-0.0659202,-0.0741145,2.10252,0.799544
55,55,1,0,0,0,-0.0379398,-0.0217318,0.154095,-0.0632665,0.00185302,-0.0401866,0.0916154,0.0356975,-0.017837,-0.0712247,0.132879,0.000621548,-0.146054,-0.0407562,-0.132037,-0.285764,-0.020505,-0.148593,0.132555,0.133031,2.07617,0.908822
56,56,1,0,0,0,-0.0321456,-0.0142673,-0.0763479,-0.0511204,-0.0463346,-0.127947,0.0173177,0.0781546,0.129678,0.0293735,-0.0126667,-0.01144,-0.170462,-0.1049,0.0233003,0.102528,0.0383702,-0.068576,-0.032773,0.0906487,2.24819,0.879512
57,57,1,0,0,0,-0.128724,-0.169674,-0.0078212,0.025773,0.103651,0.0292712,0.144457,0.0588975,0.0410947,0.153482,-0.175125,0.0408341,-0.191835,0.028711,-0.0928421,0.0924273,0.109987,-0.0590061,0.0462435,-0.00903424,2.28353,0.737928
58,58,1,1,0,0,-0.0261115,-0.0130395,-0.0302044,1.21807e-05,-0.0622736,0.0379347,-0.00477911,0.119497,0.000702196,-0.0638643,0.0294217,0.207007,-0.0275241,-0.104686,-0.0161146,0.0992364,0.0453093,0.0977241,-0.0704189,-0.00290898,2.02176,0.878784
59,59,1,1,0,0,-0.0969871,0.113788,-0.0763869,-0.0433968,0.0602904,-0.03429,0.118241,0.0470411,0.00447847,-0.0323142,0.00375259,0.113502,-0.0103719,0.0398065,0.0713574,0.0665614,0.0470255,0.0335166,0.110373,-0.0935452,2.08768,0.874989
60,60,1,1,0,0,-0.0692463,-0.0566722,0.053865,0.0671399,0.0671683,-0.0701429,-0.0645729,-0.0759745,-0.0557962,0.111256,0.125673,-0.0959232,-0.0871951,0.0738247,0.0843353,-0.0126348,0.1216,-0.148316,0.0562428,0.00671047,2.08148,0.936305
61,61,1,0,0,0,-0.0583327,-0.0664855,-0.224936,0.161231,0.076553,-0.271382,0.0195266,0.0492291,-0.0373161,0.0696841,0.0443294,-0.147574,0.00247747,0.128531,-0.0399631,0.0371867,-0.0692292,0.045291,-0.0362455,-0.0982871,2.06208,0.864355
62,62,1,0,0,0,0.064953,-0.155876,0.0502796,0.0105218,-0.0218616,-0.0646095,-0.136473,0.0412678,-0.132738,-0.046858,-0.145995,0.0649714,-0.0775953,-0.125083,0.0560236,-0.101509,-0.0527682,-0.0400093,-0.00633717,0.133236,2.13983,0.815953
63,63,1,1,0,0,0.0716611,-0.047128,-0.0735263,-0.105236,-0.0702027,0.210585,0.109789,0.0917493,0.0598232,0.0792653,-0.0654284,0.142039,-0.0292437,-0.0295985,-0.137944,-0.0787867,0.0320832,-0.0399497,-0.00787555,0.236224,2.1723,0.707192
64,64,1,0,0,0,0.0664608,-0.147228,-0.0411442,-0.10957,-0.017992,-0.104983,0.192678,0.0411022,-0.0561824,0.0420464,0.0994091,0.0631623,0.142737,0.13238,0.0122528,0.0572624,0.0120543,-0.11135,0.000602045,0.0429213,2.10023,0.943579
65,65,1,1,0,0,0.0115045,-0.0593836,0.0161475,0.109003,0.0687622,-0.181118,-0.0257566,-0.0168474,0.158633,0.0158526,-0.131258,0.0376108,-0.050233,0.048812,-0.133114,0.0280206,-0.0331166,0.0258356,0.0224841,0.195627,2.04107,0.909548
66,66,1,0,0,0,-0.0338963,0.0405125,-0.191011,-0.105208,0.108279,0.258419,-0.0715609,-0.151553,-0.0349449,0.042717,-0.0524853,0.0681685,0.105116,0.0276019,0.0601552,-0.0667077,0.147008,0.015146,0.0312098,-0.0676151,2.01362,0.950223
67,67,1,1,0,0,-0.051001,-0.0877825,-0.0850177,0.193758,0.0473559,0.136835,0.0380663,-0.0444481,-0.0384004,-0.00139519,-0.185694,0.0458931,0.071553,0.022619,0.152409,-0.18949,-0.133846,0.175933,-0.0762398,-0.0530135,2.06205,0.911194
68,68,1,0,0,0,-0.166341,-0.131113,0.0342115,-0.023593,0.101631,0.0304459,0.0280792,0.0313236,-0.027363,-0.0187282,-0.117856,0.122338,-0.0147889,-0.0578554,0.175513,0.0575828,-0.0891896,-0.0179998,-0.0425772,-0.027058,2.03893,0.962961
69,69,1,1,0,0,0.121224,-0.0901501,0.0637625,0.0264358,0.0295731,-0.192029,-0.0741183,-0.0270219,0.00180277,0.0184109,-0.102479,0.119706,0.0952725,-0.0390625,-0.062306,0.0444051,0.0019936,0.0385023,0.183583,0.159997,2.08099,0.925184
70,70,1,0,0,0,0.0154495,0.159916,0.0929681,-0.0601456,0.0864375,-0.0407432,0.0176193,-0.0348635,0.108723,-0.0904422,0.143635,-0.0243271,0.0105429,-0.0675002,0.0404886,-0.0303522,0.12415,0.032941,0.0616803,0.1547,2.19873,0.85924
71,71,1,1,0,0,0.0445939,0.0542429,0.0904293,0.100455,0.00949282,-0.00285157,-0.00555182,0.169292,0.127509,0.0965015,0.14845,0.0980738,0.0658208,0.121491,5.12879e-05,0.0820352,0.158453,0.0388762,0.00506106,0.231147,2.36655,0.637478
72,72,1,1,0,0,0.0734106,0.196799,0.00443329,-0.0236285,-0.118102,0.148858,-0.139944,-0.14227,-0.0234259,-0.0242154,-0.0347026,0.104707,-0.117984,0.0300768,-0.0148227,0.0319784,-0.125419,0.164974,-0.135475,-0.0464433,2.05009,0.864425
73,73,1,0,0,0,0.0406119,0.101764,-0.11524,0.0100168,0.028955,0.153001,0.0548766,-0.127449,0.0136041,-0.0572861,0.00268887,-0.0447883,-0.0111082,0.0530954,-0.0563966,0.00484068,0.137332,0.0593902,-0.0970223,-0.0987441,2.0048,0.975
74,74,1,1,0,0,-0.0740845,-0.17473,-0.115061,0.100006,0.119411,0.0235238,-0.0267,-0.159697,0.125602,-0.0982276,0.0241007,-0.0570259,0.108372,0.0205976,0.0542415,0.122241,-0.004862,0.0376325,0.00162774,0.0621359,2.00291,0.959217
75,75,1,0,0,0,-0.0544031,0.0106994,-0.0466268,-0.0420482,0.168431,-0.0942904,-0.0507745,-0.0986855,-0.0582489,-0.0702022,0.0145511,0.0389035,0.02884,-0.118125,0.0628675,0.0693358,-0.048444,0.112296,0.0475061,-0.0767015,2.03154,0.874499
76,76,1,0,0,0,-0.103603,0.153764,-0.121946,0.0738187,-0.106621,-0.0347039,0.0107374,-0.0538358,0.177659,0.0468273,0.119859,-0.0253688,-0.0481017,0.102621,-0.121472,0.114975,0.0257643,0.0979298,-0.116024,-0.090086,2.03852,0.914277
77,77,1,1,0,0,-0.0764888,-0.121719,-0.0370911,0.0575741,-0.0271199,0.117844,0.177193,0.0459313,-0.0881591,-0.0243741,-0.0168757,-0.038488,0.0549802,0.1978,0.0785099,-0.0640647,0.138259,-0.0262023,0.013774,0.182584,2.03554,0.789471
78,78,1,1,0,0,-0.015244,0.119637,0.0708695,0.184274,-0.175085,-0.0273662,0.114414,-0.101177,0.254688,-0.0871512,0.0230636,0.0762486,0.0584164,0.0682724,-0.0378954,0.0344529,-0.105425,0.0256781,-0.0295435,0.0706546,2.18628,0.928103
79,79,1,0,0,0,0.0308087,0.0651975,0.00548018,0.128417,0.0768576,0.000451611,0.0229167,-0.00380036,0.00559555,-0.138887,0.05362,-0.113491,0.220627,-0.174886,-0.00939418,-0.167194,-0.0524919,0.0528047,0.0164062,0.0525847,2.14162,0.899598
80,80,1,0,0,0,-0.091999,-0.00748021,-0.0245422,0.0149389,-0.024893,-0.196609,0.157334,-0.30543,0.156661,-0.0354777,0.0272743,0.0432483,-0.110939,0.102689,0.0237393,-0.17769,0.0573756,-0.0845867,0.00762883,-0.0721705,2.02398,0.781545
81,81,1,1,0,0,0.0531823,-0.014878,0.0189015,0.0354678,-0.0806552,-0.0333723,0.0644576,0.114585,-0.0191379,0.0295432,0.125725,0.0436164,-0.0127445,-0.117885,0.142532,0.180867,-0.0576902,-0.0421546,-0.0920564,-0.0109534,2.09663,0.935154
82,82,1,1,0,0,-0.0802197,-0.0125044,0.0906252,-0.131696,-0.0474212,-0.0740567,-0.101115,0.118836,-0.029072,0.0839212,-0.124808,0.199867,-0.156216,-0.229755,-0.199819,-0.0771152,-0.109337,0.0290837,-0.0822802,-0.0605256,2.34597,0.859993
83,83,1,1,0,0,0.0863213,0.00330731,-0.0102562,0.0311993,0.0240052,-0.212471,0.014155,-0.0216018,0.00477694,-0.143601,-0.0950012,0.119936,-0.16482,0.127842,0.239892,-0.0396763,-0.234303,0.0929146,0.00917811,-0.0180311,2.18121,0.760081
84,84,1,1,0,0,0.0520646,0.0718857,-0.0115416,0.0727529,0.0446902,-0.0630405,-0.0182172,-0.140265,-0.0237699,0.22877,-0.0480104,0.146675,0.042402,-0.0770623,-0.0499532,0.0501184,0.0336209,0.0941474,-0.113121,0.284695,2.12195,0.846649
85,85,1,1,0,0,0.0743633,0.165044,0.0374072,-0.0678304,-0.0499503,0.120218,-0.124942,0.00724898,0.0517427,-0.116684,0.0176074,0.0426386,-0.00820384,0.0234165,0.0989136,-0.119623,0.00992586,0.0304195,0.21692,-0.220431,2.1667,0.92997
86,86,1,0,0,0,0.0292745,-0.0550228,0.100315,-0.104394,-0.104814,-0.153644,-0.2064,0.0883487,-0.091579,0.134544,0.116901,0.0834205,-0.189766,-0.0401622,-0.0401003,0.100698,0.120515,0.0932292,-0.0137002,-0.0214723,2.10217,0.975
87,87,1,1,0,0,-0.0236758,-0.0489153,-0.0456163,0.126208,-0.130681,0.0382061,0.0505239,-0.292183,-0.124573,0.0326652,-0.126571,-0.0659074,0.0933143,-0.101393,-0.0433653,0.00351372,0.0375414,-0.0770643,-0.00179046,-0.0784334,2.1833,0.813998
88,88,1,0,0,0,0.124095,-0.149393,0.0771686,-0.0585383,-0.0706773,0.0969105,-0.0757245,-0.0870766,0.166783,0.0794876,0.00882386,0.0335599,-0.0181877,-0.142314,-0.0125187,-0.0406953,-0.0945937,-0.0254967,-0.263811,0.0530786,2.10399,0.908856
89,89,1,1,0,0,0.0530633,0.109631,-0.054995,0.120112,-0.131843,-0.00270405,0.0847281,0.00733464,0.168739,0.0914671,-0.0666336,0.179224,-0.120837,-0.0825846,-0.0646598,-0.0960151,-0.00255605,-0.118556,0.00140496,0.0637481,2.02976,0.905928
90,90,1,1,0,0,-0.0513413,-0.0390119,0.0663783,0.061488,0.0408063,-0.11167,0.0765267,0.180277,0.061219,0.0162604,0.0885041,-0.072896,0.00877307,-0.0800999,0.0133865,0.207928,0.110083,0.0360516,0.0352792,-0.0940113,2.01799,0.771845
91,91,1,1,0,0,-0.0118439,-0.00572712,0.0912109,0.00726471,-0.0755414,-0.0325951,-0.130023,0.251702,-0.132717,0.159682,-0.0441738,0.0652149,-0.0296988,-0.0441193,0.0322237,-0.0845521,-0.0691652,0.0302859,-0.0888493,0.022985,2.0076,0.964039
92,92,1,0,0,0,0.040614,0.0545932,0.065765,-0.0726612,-0.00182768,-0.00891895,0.0881918,0.17353,0.0461104,0.0135881,-0.113635,0.069705,-0.0228063,0.0235685,0.0917321,-0.150271,0.0565669,-0.0292374,-0.0148414,-0.0643931,2.06752,0.946331
93,93,1,1,0,0,-0.153501,0.135296,0.00105611,-0.169325,0.13664,-0.0164963,0.0158521,-0.105456,0.0805832,0.130496,0.0158825,-0.086282,0.0369497,0.0305348,-0.0249131,0.056543,0.0947412,-0.0278362,0.0101226,0.173097,2.03883,0.813977
94,94,1,0,0,0,-0.123549,0.188792,-0.0565464,-0.0124061,-0.0818548,0.105252,-0.032099,-0.0838967,0.117089,0.121073,-0.0860689,-0.145558,-0.110291,0.0679726,-0.00965538,0.0924646,-0.0768303,-0.0162901,-0.0242558,0.0203573,2.18458,0.894552
